country,cases,deaths,fr
Afghanistan,32022,807,0.02520142402098557
Albania,2662,69,0.025920360631104433
Algeria,14657,928,0.06331445725591868
Andorra,855,52,0.0608187134502924
Angola,315,17,0.05396825396825397
Anguilla,3,0,0.0
Antigua and Barbuda,69,3,0.043478260869565216
Argentina,69941,1385,0.019802404884116612
Armenia,26658,459,0.017218095881161376
Aruba,104,3,0.028846153846153848
Australia,8066,104,0.012893627572526656
Austria,17941,705,0.03929546848001784
Azerbaijan,18684,228,0.012202954399486191
Bahamas,104,11,0.10576923076923077
Bahrain,27837,94,0.003376800660990768
Bangladesh,153277,1926,0.012565486015514396
Barbados,97,7,0.07216494845360824
Belarus,62698,405,0.006459536189352132
Belgium,61598,9761,0.15846293710834766
Belize,28,2,0.07142857142857142
Benin,1199,21,0.01751459549624687
Bermuda,146,9,0.06164383561643835
Bhutan,77,0,0.0
Bolivia,35528,1271,0.03577460031524431
"Bonaire, Sint Eustatius and Saba",7,0,0.0
Bosnia and Herzegovina,4788,189,0.039473684210526314
Botswana,227,1,0.004405286343612335
Brazil,1496858,61884,0.04134259896396318
British Virgin Islands,8,1,0.125
Brunei,141,3,0.02127659574468085
Bulgaria,5315,232,0.043650047036688615
Burkina Faso,967,53,0.05480868665977249
Burma,304,6,0.019736842105263157
Burundi,170,1,0.0058823529411764705
Cabo Verde,1301,15,0.011529592621060722
Cambodia,141,0,0.0
Cameroon,12592,313,0.02485705209656925
Canada,106643,8700,0.08158060069577938
Cayman Islands,201,1,0.004975124378109453
Central African Republic,3788,47,0.012407602956705385
Chad,868,74,0.08525345622119816
Channel Islands,571,47,0.08231173380035026
Chile,284541,5920,0.020805437529213718
China,83542,4634,0.055469105360178114
Colombia,102261,3650,0.035692981684122
Comoros,303,7,0.0231023102310231
Congo (Brazzaville),1382,41,0.029667149059334298
Congo (Kinshasa),7189,176,0.02448184726665739
Costa Rica,4023,18,0.0044742729306487695
Cote d'Ivoire,9992,68,0.0068054443554843875
Croatia,2912,110,0.03777472527472527
Cuba,2353,86,0.03654908627284318
Curacao,23,1,0.043478260869565216
Cyprus,999,19,0.01901901901901902
Czechia,12178,353,0.02898669732304155
Denmark,12815,606,0.04728833398361296
Diamond Princess,712,13,0.018258426966292134
Djibouti,4715,55,0.01166489925768823
Dominica,18,0,0.0
Dominican Republic,34197,765,0.022370383366962013
Ecuador,59468,4639,0.07800834062016547
Egypt,71299,3120,0.043759379514439194
El Salvador,7000,191,0.027285714285714285
Equatorial Guinea,3071,51,0.01660696841419733
Eritrea,215,0,0.0
Estonia,1990,69,0.034673366834170855
Eswatini,873,11,0.012600229095074456
Ethiopia,5846,103,0.017618884707492302
Falkland Islands,13,0,0.0
Faroe Islands,187,0,0.0
Fiji,18,0,0.0
Finland,7241,328,0.045297610827233804
France,195458,29794,0.15243172446254438
French Guiana,4444,16,0.0036003600360036
French Polynesia,62,0,0.0
Gabon,5513,42,0.007618356611645202
Gambia,55,2,0.03636363636363636
Georgia,939,15,0.01597444089456869
Germany,196370,9006,0.04586240260732291
Ghana,18134,117,0.0064519686776221465
Gibraltar,178,0,0.0
Greece,3458,192,0.055523423944476576
Greenland,13,0,0.0
Grenada,23,0,0.0
Guadeloupe,182,14,0.07692307692307693
Guatemala,20072,843,0.041998804304503784
Guinea,5450,33,0.006055045871559633
Guinea-Bissau,1654,24,0.014510278113663845
Guyana,250,14,0.056
Haiti,6101,110,0.018029831175217177
Holy See,12,0,0.0
Honduras,21120,591,0.027982954545454547
Hong Kong,1242,7,0.005636070853462158
Hungary,4166,587,0.14090254440710515
Iceland,1850,10,0.005405405405405406
India,625544,18213,0.029115457905439106
Indonesia,59394,2987,0.050291275212984474
Iran,232863,11106,0.04769327888071527
Iraq,53708,2160,0.04021747225739182
Ireland,25489,1738,0.06818627643297108
Isle of Man,336,24,0.07142857142857142
Israel,27047,324,0.011979147410063963
Italy,240961,34818,0.14449641228248555
Jamaica,715,10,0.013986013986013986
Japan,19055,977,0.051272631855156126
Jordan,1136,9,0.007922535211267605
Kazakhstan,42574,188,0.004415840653920233
Kenya,6941,152,0.021898861835470393
"Korea, South",12967,282,0.02174751291740572
Kosovo,3064,55,0.017950391644908616
Kuwait,47859,359,0.007501201445914039
Kyrgyzstan,6767,76,0.011230973843653022
Laos,19,0,0.0
Latvia,1122,30,0.026737967914438502
Lebanon,1796,35,0.019487750556792874
Lesotho,35,0,0.0
Liberia,819,37,0.045177045177045176
Libya,891,26,0.029180695847362513
Liechtenstein,83,1,0.012048192771084338
Lithuania,1825,78,0.042739726027397264
Luxembourg,4395,110,0.02502844141069397
MS Zaandam,9,2,0.2222222222222222
Macau,46,0,0.0
Madagascar,2403,24,0.009987515605493134
Malawi,1342,16,0.011922503725782414
Malaysia,8643,121,0.013999768598866135
Maldives,2400,10,0.004166666666666667
Mali,2260,117,0.05176991150442478
Malta,671,9,0.013412816691505217
Martinique,242,14,0.05785123966942149
Mauritania,4606,129,0.028006947459834997
Mauritius,341,10,0.02932551319648094
Mayotte,2650,35,0.013207547169811321
Mexico,238511,29189,0.1223800998696077
Moldova,17150,560,0.0326530612244898
Monaco,106,4,0.03773584905660377
Mongolia,220,0,0.0
Montenegro,616,12,0.01948051948051948
Montserrat,11,1,0.09090909090909091
Morocco,12969,229,0.017657490939933688
Mozambique,918,6,0.006535947712418301
Namibia,293,0,0.0
Nepal,14519,31,0.0021351332736414355
Netherlands,50335,6113,0.12144630972484355
New Caledonia,21,0,0.0
New Zealand,1530,22,0.01437908496732026
Nicaragua,2519,83,0.03294958316792378
Niger,1081,68,0.06290471785383904
Nigeria,27110,616,0.022722242714865365
North Macedonia,6625,321,0.04845283018867925
Norway,8902,251,0.028195911031228937
Oman,42555,188,0.004417812242979673
Pakistan,221896,4551,0.020509608104697697
Panama,35237,667,0.01892896671112751
Papua New Guinea,11,0,0.0
Paraguay,2303,19,0.008250108554059922
Peru,292004,10045,0.0344002136957028
Philippines,38805,1274,0.03283082077051926
Poland,35146,1492,0.042451488078301944
